,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
2211,000990,诚志股份,3.97,14.92,33.693000000000005,650.9835,0.5195,4362.8438,3.4818
2212,603378,亚士创能,3.97,4.48,28.5997,51.8243,0.266,1155.4927,5.9316
2213,300166,东方国信,3.96,19.16,46.2566,182.4338,0.1726,951.9810000000001,0.9009
2214,601857,中国石油,3.95,2.81,22.4034,48121.0,0.2629,1709933.0,9.3428
2215,300636,同和药业,3.95,13.99,28.1664,26.2172,0.322,187.3958,2.3023
2216,600250,南纺股份,3.95,2.17,4.0647,17.6304,0.0681,809.1032,3.1276
2217,600743,华远地产,3.95,9.52,31.1328,291.7745,0.1243,3062.5047,1.3053
2218,600589,广东榕泰,3.94,10.59,27.0905,124.6017,0.1766,1175.8225,1.6671
2219,002729,好利来,3.93,12.73,39.7744,16.9286,0.2538,132.8874,1.9929
2220,300670,大烨智能,3.93,10.22,25.5336,22.5972,0.1162,220.9438,1.1365
2221,000766,通化金马,3.93,13.06,84.7957,179.4412,0.1856,1372.9956,1.4205
2222,300721,怡达股份,3.93,3.9,13.9756,34.3246,0.4243,879.0878,10.869000000000002
2223,002124,天邦股份,3.93,3.8,15.0473,120.8422,0.1042,3178.9826,2.7413
2224,000725,京东方A,3.93,4.86,18.8217,3379.0667,0.0971,69464.4133,1.9961
2225,600098,广州发展,3.93,3.45,9.9236,644.6941,0.2364,18652.3499,6.8418
2226,002364,中恒电气,3.91,15.34,40.0455,89.0414,0.1579,580.135,1.0294
2227,600721,百花村,3.91,19.43,35.3563,70.0809,0.175,360.5171,0.9004
2228,603936,博敏电子,3.9,5.76,16.7925,82.4321,0.3825,1428.9265,6.632000000000001
2229,300115,长盈精密,3.9,2.94,20.7238,177.0509,0.1945,6018.4956,6.6147
2230,600227,圣济堂,3.9,11.04,32.9868,189.5897,0.1091,1716.4875,0.9885
2231,603721,中广天择,3.9,9.22,25.5778,20.7144,0.2071,224.6501,2.2465
2232,600280,中央商场,3.89,1.23,22.8733,73.6443,0.0641,5976.2109,5.2042
2233,000705,浙江震元,3.89,2.72,21.1289,55.9615,0.1674,2054.9179,6.1501
2234,000096,广聚能源,3.89,7.7,9.3964,96.1076,0.182,1247.9297,2.3635
2235,002772,众兴菌业,3.88,15.47,29.1637,105.9085,0.2836,684.2204,1.8327
2236,000539,粤电力A,3.88,4.47,12.7175,938.8216,0.1788,20955.915,3.9913
2237,603078,江化微,3.88,10.4,30.5183,29.5018,0.3512,283.652,3.3768
2238,002461,珠江啤酒,3.88,9.58,41.9166,316.86400000000003,0.1431,3307.0081,1.4941
2239,603363,傲农生物,3.86,0.74,13.9033,31.6913,0.0743,4230.435,9.929
2240,601919,中远海控,3.86,1.05,7.316,862.586,0.0844,82130.0679,8.0391
2241,300339,润和软件,3.86,11.73,35.7561,178.9677,0.2247,1524.4945,1.9142
2242,300430,诚益通,3.85,13.22,42.0328,61.1119,0.2246,461.925,1.6981
2243,300220,金运激光,3.85,6.47,31.353,9.7599,0.0774,150.6947,1.1959
2244,603626,科森科技,3.84,4.41,23.0488,67.3852,0.1621,1527.3039999999999,3.6751
2245,603166,福达股份,3.84,7.51,22.2703,79.8858,0.1336,1063.0381,1.7784
2246,000882,华联股份,3.84,33.68,44.0128,310.8155,0.1135,922.7826,0.3371
2247,600999,招商证券,3.84,39.42,48.2019,3071.7228,0.4585,7791.5829,1.163
2248,002350,北京科锐,3.84,3.94,25.7683,67.8805,0.1356,1720.2206,3.4385
2249,600936,广西广电,3.84,8.47,20.7368,142.8519,0.0854,1685.2748,1.0085
2250,002029,七匹狼,3.83,9.12,39.0899,214.6515,0.284,2353.0935,3.1139
